          filename	output.txt	o2.txt	Aggregate_Mean	Aggregate_Std_dev	Aggregate_Median
strict f-measure bn	0.5679	0.5716	0.5697	0.0018	0.5697
strict f-measure en	0.7762	0.7782	0.7772	0.0010	0.7772
strict f-measure gu	0.0000	0.0000	0.0000	0.0000	0.0000
strict f-measure hi	0.4009	0.4838	0.4423	0.0414	0.4423
strict f-measure kn	0.4402	0.3688	0.4045	0.0357	0.4045
strict f-measure ml	0.4438	0.2077	0.3257	0.1180	0.3257
strict f-measure mr	0.3519	0.3741	0.3630	0.0111	0.3630
strict f-measure ta	0.7280	0.6279	0.6779	0.0500	0.6779
strict f-measure te	0.3468	0.4015	0.3742	0.0274	0.3742
strict precision MIX	1.0000	1.0000	1.0000	0.0000	1.0000
strict precision MIX_en-bn	1.0000	1.0000	1.0000	0.0000	1.0000
strict precision MIX_en-kn	1.0000	1.0000	1.0000	0.0000	1.0000
strict precision MIX_en-ml	1.0000	1.0000	1.0000	0.0000	1.0000
strict precision MIX_en-te	1.0000	1.0000	1.0000	0.0000	1.0000
strict precision NE	0.6823	0.6823	0.6823	0.0000	0.6823
strict precision NE-ml	1.0000	1.0000	1.0000	0.0000	1.0000
strict precision NE_L	0.9444	0.9444	0.9444	0.0000	0.9444
strict precision NE_O	0.7500	0.7500	0.7500	0.0000	0.7500
strict precision NE_OA	0.2500	0.2500	0.2500	0.0000	0.2500
strict precision NE_P	0.9699	0.9699	0.9699	0.0000	0.9699
strict precision NE_PA	0.0000	0.0000	0.0000	0.0000	0.0000
strict precision O	0.0000	0.0000	0.0000	0.0000	0.0000
strict precision X	0.9482	0.9482	0.9482	0.0000	0.9482
strict precision bn	0.4817	0.4627	0.4722	0.0095	0.4722
strict precision en	0.9200	0.9190	0.9195	0.0005	0.9195
strict precision gu	0.0000	0.0000	0.0000	0.0000	0.0000
strict precision hi	0.3459	0.4532	0.3996	0.0537	0.3996
strict precision kn	0.3813	0.2692	0.3253	0.0560	0.3253
strict precision ml	0.3160	0.1169	0.2165	0.0996	0.2165
strict precision mr	0.2577	0.2423	0.2500	0.0077	0.2500
strict precision ta	0.6924	0.5967	0.6446	0.0479	0.6446
strict precision te	0.2439	0.3970	0.3204	0.0766	0.3204
 strict recall MIX	0.6667	0.6667	0.6667	0.0000	0.6667
strict recall MIX_en-bn	0.5000	0.5000	0.5000	0.0000	0.5000
strict recall MIX_en-kn	1.0000	1.0000	1.0000	0.0000	1.0000
strict recall MIX_en-ml	1.0000	1.0000	1.0000	0.0000	1.0000
strict recall MIX_en-te	1.0000	1.0000	1.0000	0.0000	1.0000
  strict recall NE	0.5563	0.5563	0.5563	0.0000	0.5563
strict recall NE-ml	1.0000	1.0000	1.0000	0.0000	1.0000
strict recall NE_L	0.2500	0.2500	0.2500	0.0000	0.2500
strict recall NE_O	1.0000	1.0000	1.0000	0.0000	1.0000
strict recall NE_OA	0.1053	0.1053	0.1053	0.0000	0.1053
strict recall NE_P	0.7011	0.7011	0.7011	0.0000	0.7011
strict recall NE_PA	0.0000	0.0000	0.0000	0.0000	0.0000
   strict recall O	0.0000	0.0000	0.0000	0.0000	0.0000
